candidate_id,normal_restitution,tangential_restitution,friction_coefficient,roughness_profile,roughness_std_normal,roughness_std_tangent,roughness_std_angle,calibration_objective,holdout_objective,calibration_observed_mean_runout_m,calibration_simulated_mean_runout_m,calibration_runout_distance_error_m,calibration_deposition_centroid_error_m,calibration_deposition_cloud_mean_nearest_error_m,calibration_lateral_spread_error_m,calibration_deposition_cloud_overlap_fraction,holdout_observed_mean_runout_m,holdout_simulated_mean_runout_m,holdout_runout_distance_error_m,holdout_deposition_centroid_error_m,holdout_deposition_cloud_mean_nearest_error_m,holdout_lateral_spread_error_m,holdout_deposition_cloud_overlap_fraction
candidate_003,0.25,0.85,0.35,moderate,0.08,0.06,0.08,0.2701970675601,0.2839019844916597,92.24651399999999,122.41853378413573,30.172019784135742,31.081252338302214,16.688309155130078,2.3935375697905528,0.5138888888888888,97.62890361111111,131.16821276743067,33.53930915631956,34.21528440957741,17.62330984598225,5.458672870048012,0.2638888888888889
candidate_011,0.4,0.85,0.35,moderate,0.08,0.06,0.08,0.4230578121291931,0.4592980438671893,92.24651399999999,138.92755094662098,46.68103694662099,47.53173487961882,28.72089271608193,3.920295002844341,0.09722222222222222,97.62890361111111,150.99505515658925,53.36615154547813,53.99689396868222,33.97088262646146,5.325962405537037,0.041666666666666664
candidate_007,0.25,0.95,0.35,moderate,0.08,0.06,0.08,0.5882906037371541,0.5825569014203366,92.24651399999999,156.18775823518115,63.94124423518116,64.76179855226917,46.41207132021945,0.2133360576513077,0.0,97.62890361111111,165.45962834399322,67.8307247328821,68.4366773707585,43.3269717350593,5.760017572551558,0.013888888888888888
candidate_002,0.25,0.85,0.35,low,0.04,0.04,0.04,0.6206234313637147,0.6193745112174884,92.24651399999999,158.97183519790275,66.72532119790276,67.54303247451904,50.508143996164435,2.365665931020594,0.0,97.62890361111111,169.19324726273544,71.56434365162433,72.20720489293606,47.88136803831857,6.368249807025634,0.013888888888888888
candidate_006,0.25,0.95,0.35,low,0.04,0.04,0.04,0.763634184304332,0.7726967438837461,92.24651399999999,174.09035449040778,81.84384049040779,82.6494780477159,63.114295809751695,3.2763457874531703,0.0,97.62890361111111,186.59439295573807,88.96548934462696,89.58627725547322,61.26238404457198,7.54019601380832,0.0
candidate_010,0.4,0.85,0.35,low,0.04,0.04,0.04,0.8175324374968772,0.8125521437937147,92.24651399999999,179.0298686849833,86.78335468498332,87.56509993708266,70.68732170698382,3.3326850709988065,0.0,97.62890361111111,191.00779287352952,93.37888926241841,93.99984341952128,66.29826265131635,5.4846137220640045,0.0
candidate_015,0.4,0.95,0.35,moderate,0.08,0.06,0.08,0.9270647988604555,0.9500464474136238,92.24651399999999,191.80060534230427,99.55409134230428,100.27030036480592,76.60227158203304,3.311254353431721,0.0,97.62890361111111,206.82826220104627,109.19935858993516,109.79277919811982,77.46152933816532,6.717810079893805,0.0
candidate_014,0.4,0.95,0.35,low,0.04,0.04,0.04,1.0341941569307556,1.0171353374116092,92.24651399999999,202.00757449054197,109.76106049054198,110.51693284058511,89.57788733903382,4.635178773341778,0.0,97.62890361111111,215.06552262737196,117.43661901626085,118.04096972528559,80.91985893175132,7.611150406239254,0.0
candidate_001,0.25,0.85,0.2,moderate,0.08,0.06,0.08,1.9716941753133295,1.8780082032502732,92.24651399999999,300.777696400854,208.531182400854,209.20734120804997,178.09440009102272,1.221669461581488,0.0,97.62890361111111,306.13928731771216,208.51038370660103,209.03155744233965,185.1233062536478,2.356585767119398,0.0
candidate_005,0.25,0.95,0.2,moderate,0.08,0.06,0.08,2.0643742368980567,1.9288121991082705,92.24651399999999,308.3278303367636,216.08131633676362,216.73292906900235,193.97436016826543,2.1663029280857344,0.0,97.62890361111111,311.84087978148847,214.21197617037734,214.680775131993,190.10169101890676,2.218990072272028,0.0
candidate_009,0.4,0.85,0.2,moderate,0.08,0.06,0.08,2.0900309701862656,1.97679505847055,92.24651399999999,311.36783758639655,219.12132358639656,219.76217127266344,195.8690920754405,0.7911430458845992,0.0,97.62890361111111,318.1304825525978,220.50157894148668,220.9805387571745,190.3823451466571,4.450199800480341,0.0
candidate_013,0.4,0.95,0.2,moderate,0.08,0.06,0.08,2.176674528975164,2.0967181536699666,92.24651399999999,320.3995568069132,228.15304280691322,228.73106988827715,203.78281141535697,1.8243839229922294,0.0,97.62890361111111,330.43037891478093,232.8014753036698,233.28148993441724,206.71344796846546,2.7656856036320647,0.0
candidate_000,0.25,0.85,0.2,low,0.04,0.04,0.04,2.4247872944873143,2.2557677587886924,92.24651399999999,343.8143438528759,251.5678298528759,252.2915368125331,234.17314947899507,5.6513757521970085,0.0,97.62890361111111,346.965336114554,249.3364325034429,249.91690361695504,227.60919706816574,0.2567314741219793,0.0
candidate_008,0.4,0.85,0.2,low,0.04,0.04,0.04,2.4883448927866807,2.3440615953417345,92.24651399999999,351.01644440002667,258.7699304000267,259.4854505421316,240.0672848020943,2.098537133112103,0.0,97.62890361111111,356.61433048584576,258.9854268747346,259.5442410368854,236.7444204685491,0.6977710356380964,0.0
candidate_004,0.25,0.95,0.2,low,0.04,0.04,0.04,2.499402278690059,2.3366690402371155,92.24651399999999,351.6458181158256,259.3993041158256,260.11565736800327,242.48491028867687,3.0556404095668306,0.0,97.62890361111111,355.6393896431348,258.01048603202366,258.5943498644893,236.59368245145225,0.5439382955345238,0.0
candidate_012,0.4,0.95,0.2,low,0.04,0.04,0.04,2.60713935726576,2.4565967020807564,92.24651399999999,363.0846490709444,270.8381350709444,271.54870329763145,252.5516786680112,2.248448800318606,0.0,97.62890361111111,369.63649818654494,272.0075945754338,272.55157992618933,245.46089971188002,2.013501559470704,0.0
