trajectory_id,experiment_id,x_m,y_m,z_m,ground_z_m,release_x_m,release_y_m,release_z_m,observed_runout_m,block_id,mass_kg,radius_m,source
v004,tschamut2014,86.802000,149.810000,24.102928,23.926261,33.400000,236.670000,72.934936,101.962901,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v005,tschamut2014,68.219000,161.530000,33.593440,33.395107,34.445000,238.380000,73.387316,83.944062,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v006,tschamut2014,76.367000,156.240000,29.358546,29.181879,37.142000,241.620000,74.000244,93.959273,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v007,tschamut2014,76.435000,145.430000,24.929667,24.769667,33.465000,237.720000,73.328713,101.803070,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v011,tschamut2014,96.229000,146.670000,20.440071,20.263404,28.729000,233.860000,72.974839,110.264891,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v014,tschamut2014,122.180000,136.340000,9.654644,9.494644,30.182000,234.730000,72.944092,134.700498,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v015,tschamut2014,126.270000,140.880000,10.481838,10.305171,29.956000,235.050000,73.148068,134.701060,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v017,tschamut2014,57.404000,202.130000,52.799339,52.639339,29.842000,235.010000,73.143995,42.904059,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v018,tschamut2014,89.297000,139.670000,19.348776,19.172109,30.448000,236.160000,73.474819,113.020020,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v019,tschamut2014,97.938000,147.630000,20.419448,20.221115,29.316000,235.100000,73.352064,111.175446,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v020,tschamut2014,102.220000,151.490000,20.866574,20.706574,30.602000,235.280000,73.061391,110.226594,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v021,tschamut2014,96.471000,146.540000,20.347627,20.149294,30.240000,234.710000,72.959613,110.274631,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v022,tschamut2014,56.461000,209.330000,56.003661,55.805328,29.490000,234.430000,73.035620,36.843518,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v023,tschamut2014,54.244000,196.730000,51.420422,51.243756,29.832000,235.820000,73.492513,46.086591,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v024,tschamut2014,95.554000,150.280000,22.100309,21.901976,29.594000,233.960000,72.818207,106.550758,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v025,tschamut2014,104.640000,143.870000,17.172625,16.995958,29.251000,234.720000,73.192355,118.056020,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v026,tschamut2014,43.540000,211.620000,60.167029,60.007029,29.096000,235.010000,73.332828,27.490384,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v027,tschamut2014,111.190000,152.330000,18.975871,18.777537,29.778000,234.760000,73.096886,115.856025,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v028,tschamut2014,64.531000,145.770000,28.081131,27.921131,29.046000,234.440000,73.113741,95.506828,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v029,tschamut2014,89.118000,133.780000,16.999400,16.822734,20.697000,230.570000,73.670351,118.531588,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v030,tschamut2014,77.174000,157.180000,29.536446,29.359779,21.315000,230.300000,73.404145,92.015011,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v031,tschamut2014,104.020000,149.880000,19.756371,19.596371,24.604000,231.650000,73.103809,113.987868,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v032,tschamut2014,93.923000,163.230000,27.778215,27.579881,59.474000,257.590000,74.861956,100.451696,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v033,tschamut2014,114.920000,165.720000,23.453983,23.277316,59.212000,257.110000,74.711456,107.030432,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v034,tschamut2014,114.920000,165.720000,23.453983,23.277316,59.212000,257.110000,74.711456,107.030432,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v035,tschamut2014,62.112000,149.300000,30.166964,29.968631,20.756000,229.590000,73.278647,90.315020,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v036,tschamut2014,67.806000,135.980000,23.288505,23.111838,18.592000,229.320000,73.694975,105.519540,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
v037,tschamut2014,67.670000,156.230000,31.539264,31.379264,17.643000,229.300000,73.910395,88.554648,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined last sample; z projected to proxy terrain plus radius
